tx_lat,tx_lon,tx_el,rx_lat,rx_lon,rx_el,frequency_Hz,pathloss_dB,pl_los_index,propagation_delay_s,propagation_distance_m,rays_count,h_bar,SNR_dB,capacity,loss_dB
34.06985,-118.4425,113.396944579668,34.0674,-118.44225,109.278806836344,2400000000,136.536837824506,1,1.07255810407634e-06,321.544830368866,42,0,-Inf,0,136.536843443886
34.06985,-118.44245,113.586266943254,34.0674,-118.44225,109.278806836344,2400000000,136.045455473689,1,1.05734564492776e-06,316.984249848488,51,0,-Inf,0,136.04546111237
34.06985,-118.4424,113.775600272231,34.0674,-118.44225,109.278806836344,2400000000,135.508004739321,1,1.04216798749988e-06,312.434102621501,57,0,-Inf,0,135.508010362321
34.06985,-118.44235,113.94906779658,34.0674,-118.44225,109.278806836344,2400000000,134.914224741606,1,1.02703541727018e-06,307.897472196484,64,0,-Inf,0,134.914230314877
34.06985,-118.4423,114.025508017279,34.0674,-118.44225,109.278806836344,2400000000,130.666122224364,5,9.46946800435302e-07,283.887508897735,63,0.0661437307005714,-37.1699780166678,1.2110272862098e-06,130.666127834668
34.06985,-118.44225,114.101974464022,34.0674,-118.44225,109.278806836344,2400000000,126.596436979916,1,9.48876031216023e-07,284.465877735536,55,0.102984358402905,-29.8954041838851,1.56737998536419e-05,126.596442561952
34.06985,-118.4422,114.178428988904,34.0674,-118.44225,109.278806836344,2400000000,120.525775053307,31,1.07828252955189e-06,323.260969952817,43,0.10382468386482,-24.1156042692714,6.02845846530907e-05,120.525780626092
34.06985,-118.44215,114.254894479178,34.0674,-118.44225,109.278806836344,2400000000,105.334200529849,4,9.23794123094527e-07,276.946510848463,25,0.218098599338962,-3.32829467331897,0.0315423881849371,105.334206161228
34.06985,-118.4421,114.331370935775,34.0674,-118.44225,109.278806836344,2400000000,105.559249840841,1,9.20457659032792e-07,275.946264086367,46,0.494640210520747,3.3957469344045,0.61800683762598,105.559255411597
34.06985,-118.44205,114.407820208929,34.0674,-118.44225,109.278806836344,2400000000,88.7575002811639,1,9.08769846199143e-07,272.442345948323,27,0.472443178247651,19.3121542309838,4.3255922193228,88.757505850961
34.06985,-118.442,114.484265192412,34.0674,-118.44225,109.278806836344,2400000000,88.7687504625035,1,9.09947670225088e-07,272.795448708153,23,0.338841260364622,16.3874460023637,2.58431800038073,88.7687561306364
34.06985,-118.44195,114.560721140355,34.0674,-118.44225,109.278806836344,2400000000,88.7824516867302,1,9.11384165030545e-07,273.226099016785,17,0.330123107664198,16.1714454121055,2.46292205784701,88.782457319302
34.06985,-118.4419,114.637180424295,34.0674,-118.44225,109.278806836344,2400000000,88.7985807318389,1,9.13078109294873e-07,273.733930731503,14,0.244820595289416,13.6175683766776,1.25014052550709,88.7985863591017
34.06985,-118.44185,114.713650674559,34.0674,-118.44225,109.278806836344,2400000000,101.182210982812,14,1.04779906333858e-06,314.122256688371,21,0.0173130215689476,-21.5858476022588,3.0014773274673e-06,101.182216581819
34.06985,-118.4418,114.790109003894,34.0674,-118.44225,109.278806836344,2400000000,121.16065212938,12,1.05012364777454e-06,314.819149570256,24,0.0676601556051408,-29.0772559074217,8.16796190041016e-06,121.160657785127
34.06985,-118.44175,114.866555408575,34.0674,-118.44225,109.278806836344,2400000000,128.679801290755,1,9.40312736495042e-07,281.898666562555,30,0.102116623221078,-32.2291182576979,9.00438898933849e-06,128.679806977763
34.0698,-118.4427,112.646911305375,34.0674,-118.44225,109.278806836344,2400000000,138.479154413372,1,1.13231932601531e-06,339.460793987034,45,0,-Inf,0,138.479160006224
34.0698,-118.44265,112.836243211292,34.0674,-118.44225,109.278806836344,2400000000,138.129287762694,1,1.11694002443691e-06,334.850195364522,44,0,-Inf,0,138.129293401664
34.0698,-118.4426,113.025570823811,34.0674,-118.44225,109.278806836344,2400000000,137.757823365185,1,1.10156259884286e-06,330.240159147969,49,0,-Inf,0,137.757828976491
34.0698,-118.44255,113.214894141071,34.0674,-118.44225,109.278806836344,2400000000,137.36154346069,1,1.08618737597291e-06,325.63078329149,47,0,-Inf,0,137.361549056029
34.0698,-118.4425,113.404213168658,34.0674,-118.44225,109.278806836344,2400000000,136.936432758688,1,1.07081478495993e-06,321.022196445879,48,0,-Inf,0,136.936438422917
34.0698,-118.44245,113.593535531312,34.0674,-118.44225,109.278806836344,2400000000,136.477390260466,1,1.05544540364027e-06,316.414571842119,50,0,-Inf,0,136.477395899878
34.0698,-118.4424,113.766999718733,34.0674,-118.44225,109.278806836344,2400000000,135.977795028835,1,1.04007926724032e-06,311.807920040816,54,0,-Inf,0,135.977800634391
34.0698,-118.44235,113.843467122875,34.0674,-118.44225,109.278806836344,2400000000,135.42882672397,1,1.02471333196068e-06,307.201328533862,58,0,-Inf,0,135.42883228792
34.0698,-118.4423,113.919922602363,34.0674,-118.44225,109.278806836344,2400000000,131.864964395669,2,1.09276867331083e-06,327.603806597252,49,0.0619248977601425,-39.974029897238,5.56547276696884e-07,131.864969969654
34.0698,-118.44225,113.996381419711,34.0674,-118.44225,109.278806836344,2400000000,131.905927878019,1,9.40774908473533e-07,282.037222236006,73,0.102334328945669,-33.9369558201618,6.10268186277327e-06,131.905933497809
34.0698,-118.4422,114.072835943662,34.0674,-118.44225,109.278806836344,2400000000,124.37635951069,47,1.32434658156235e-06,397.029116930475,57,0.163711024464815,-24.6758790203135,0.000131741517036883,124.376365082117
34.0698,-118.44215,114.14930906333,34.0674,-118.44225,109.278806836344,2400000000,111.442860035358,16,1.23659030832942e-06,370.720448073055,48,0.199221352618676,-11.030582856272,0.00450929998545251,111.442865596808
