tx_lat,tx_lon,tx_el,rx_lat,rx_lon,rx_el,frequency_Hz,pathloss_dB,pl_los_index,propagation_delay_s,propagation_distance_m,rays_count,h_bar,SNR_dB,capacity,loss_dB
34.07,-118.4427,112.617782064714,34.0674,-118.44225,109.278806836344,5000000000,146.999460626517,1,1.14556518301068e-06,343.431802013992,44,0,-Inf,0,
34.07,-118.44265,112.807113969699,34.0674,-118.44225,109.278806836344,5000000000,146.599735594135,1,1.13102032585452e-06,339.071363535886,45,0,-Inf,0,
34.07,-118.4426,112.996441582218,34.0674,-118.44225,109.278806836344,5000000000,146.174524964543,1,1.11658580282754e-06,334.744002397571,47,0,-Inf,0,
34.07,-118.44255,113.185764902271,34.0674,-118.44225,109.278806836344,5000000000,145.720558861626,1,1.10228366770633e-06,330.456330154935,59,0,-Inf,0,
34.07,-118.4425,113.375083929859,34.0674,-118.44225,109.278806836344,5000000000,145.234060682394,1,1.08814199440516e-06,326.216763155745,76,0,-Inf,0,
34.07,-118.44245,113.564406291582,34.0674,-118.44225,109.278806836344,5000000000,144.710738984354,1,1.07419694820656e-06,322.036143478945,86,0,-Inf,0,
34.07,-118.4424,113.753747250885,34.0674,-118.44225,109.278806836344,5000000000,143.754527405655,75,1.39137111134309e-06,417.122565459737,91,0,-Inf,0,
34.07,-118.44235,113.943076286465,34.0674,-118.44225,109.278806836344,5000000000,137.083673482975,1,1.01195037585309e-06,303.375090551023,62,0,-Inf,0,
34.07,-118.4423,114.132393400185,34.0674,-118.44225,109.278806836344,5000000000,129.681905004981,21,1.14163738101905e-06,342.254276600384,30,0,-Inf,0,
34.07,-118.44225,114.321713850833,34.0674,-118.44225,109.278806836344,5000000000,129.480151734814,28,1.16579191560664e-06,349.495623896243,35,0.0182811523034955,-38.4409019228648,6.90385197114539e-08,
34.07,-118.4422,114.495168496855,34.0674,-118.44225,109.278806836344,5000000000,119.485114626797,5,9.81372531943572e-07,294.208083565047,37,0.0830514523256476,-16.6648308385439,0.000214463622554668,
34.07,-118.44215,114.571633987129,34.0674,-118.44225,109.278806836344,5000000000,109.905896121658,25,1.04040883301322e-06,311.906721373945,32,0.0849398844621825,-7.69208867433923,0.00176979349974493,
34.07,-118.4421,114.648095184006,34.0674,-118.44225,109.278806836344,5000000000,99.5553671170586,6,9.7502550918092e-07,292.30529401005,13,0.0880873021275692,2.48194944469073,0.0196892513558745,
34.07,-118.44205,114.724552088417,34.0674,-118.44225,109.278806836344,5000000000,95.6465872087255,1,9.64160848251937e-07,289.048150604813,19,0.0943744639560739,5.40575066644599,0.0439368246536137,
34.07,-118.442,114.801004700363,34.0674,-118.44225,109.278806836344,5000000000,95.6565858246117,1,9.65271364862838e-07,289.381075109245,18,0.126755444522022,8.33180151205556,0.149811105941169,
34.07,-118.44195,114.877460648306,34.0674,-118.44225,109.278806836344,5000000000,95.6687661349853,1,9.66625924137391e-07,289.78716176367,15,0.103874054413927,6.58233678415451,0.069178069978998,
34.07,-118.4419,114.953927562572,34.0674,-118.44225,109.278806836344,5000000000,95.6831097742135,1,9.68223502335122e-07,290.266103658415,7,0.0618583523814518,2.18258729100526,0.00909620271313194,
34.07,-118.44185,115.030390184373,34.0674,-118.44225,109.278806836344,5000000000,115.848816229328,1,9.70250029013072e-07,290.8736410724,22,0.0543914875106934,-18.8066740247298,5.61772600301548e-05,
34.07,-118.4418,115.106840883382,34.0674,-118.44225,109.278806836344,5000000000,117.864215022696,20,1.15738166028387e-06,346.974292780623,21,0.0141829964222104,-31.6128580832242,2.00181844693228e-07,
34.07,-118.44175,115.183302546851,34.0674,-118.44225,109.278806836344,5000000000,119.153821351398,6,1.10514308454376e-06,331.313561757074,15,0.0066010275004141,-37.9968129692223,9.97048588712928e-09,
34.06995,-118.4427,112.625059022568,34.0674,-118.44225,109.278806836344,5000000000,147.21216185907,1,1.14030429561805e-06,341.854627651294,47,0,-Inf,0,
34.06995,-118.44265,112.814390927553,34.0674,-118.44225,109.278806836344,5000000000,146.81811802923,1,1.1254394462323e-06,337.39825791614,45,0,-Inf,0,
34.06995,-118.4426,113.003718540072,34.0674,-118.44225,109.278806836344,5000000000,146.398013493408,1,1.11064584166369e-06,332.963246839837,50,0,-Inf,0,
34.06995,-118.44255,113.193041860126,34.0674,-118.44225,109.278806836344,5000000000,145.948093672764,1,1.09593848365906e-06,328.554091832942,51,0,-Inf,0,
34.06995,-118.4425,113.382368516177,34.0674,-118.44225,109.278806836344,5000000000,145.463813675776,1,1.08133679753496e-06,324.176616458855,64,0,-Inf,0,
34.06995,-118.44245,113.571690878831,34.0674,-118.44225,109.278806836344,5000000000,144.798063996551,64,1.40066641189356e-06,419.90922645961,64,0,-Inf,0,
34.06995,-118.4424,113.761024206877,34.0674,-118.44225,109.278806836344,5000000000,144.10726247504,65,1.38921111369465e-06,416.475014455437,71,0,-Inf,0,
34.06995,-118.44235,113.950353242457,34.0674,-118.44225,109.278806836344,5000000000,142.263735278685,58,1.3675509945286e-06,409.981474090074,81,0,-Inf,0,
34.06995,-118.4423,114.139670356177,34.0674,-118.44225,109.278806836344,5000000000,136.312877403781,1,9.88012049579618e-07,296.198560877092,44,0.0276092201726821,-43.566190134571,4.83797697459741e-08,
34.06995,-118.44225,114.313121667132,34.0674,-118.44225,109.278806836344,5000000000,130.426430458298,26,1.11779362136192e-06,335.106097284811,34,0.0329374722171535,-37.6795094804404,2.67057072019314e-07,
